State,Value,CV (%)
KENTUCKY,76899000,22.3
KENTUCKY,315338000,12.3
KENTUCKY,311756000,11.5
KENTUCKY,105637000,27.4
KENTUCKY,44503000,26.9
KENTUCKY,59481000,23.6
KENTUCKY,35462000,42.4
KENTUCKY,104861000,34.6
KENTUCKY,20838000,30.2
KENTUCKY,114460000,11.8
KENTUCKY,16684000,27.8
KENTUCKY,53022000,33.2
KENTUCKY,24198000,27.5
KENTUCKY,93135000,18.1
KENTUCKY,15086000,30
KENTUCKY,41031000,23.7
KENTUCKY,6854000,43.2
KENTUCKY,7635000,57.9
KENTUCKY,40552,15
KENTUCKY,19729,30.3
KENTUCKY,8301,14.5
KENTUCKY,3819,25.5
KENTUCKY,7958,16.8
KENTUCKY,36289,16.4
KENTUCKY,2409,25.3
KENTUCKY,1706,21.5
KENTUCKY,9205,19.3
KENTUCKY,7902,19.7
KENTUCKY,8081,63.3
KENTUCKY,5326,20.9
KENTUCKY,8265,23.8
KENTUCKY,29959,19.9
KENTUCKY,14767,39.7
KENTUCKY,5611,18.1
KENTUCKY,3467,27.5
KENTUCKY,5436,21.7
KENTUCKY,23744,14.3
KENTUCKY,6215,63.2
KENTUCKY,27545,21.4
KENTUCKY,26951,21.5
KENTUCKY,1542,22.9
KENTUCKY,6806,24.6
KENTUCKY,5586,25.6
KENTUCKY,6465,78.8
KENTUCKY,4063,25.8
KENTUCKY,5497,28.3
KENTUCKY,10594,12
KENTUCKY,4962,24.2
KENTUCKY,2690,23.9
KENTUCKY,2522,24.9
KENTUCKY,9338,15.5
KENTUCKY,2399,24
KENTUCKY,2316,26.1
KENTUCKY,1616,28.8
KENTUCKY,2768,43.4
MICHIGAN,20455000,39.1
MICHIGAN,5557,30.4
MICHIGAN,8547,22.9
MICHIGAN,434153000,7.9
MICHIGAN,79035000,25
MICHIGAN,115708000,30.9
MICHIGAN,79550000,41.4
MICHIGAN,114894000,19.3
MICHIGAN,331956000,15.5
MICHIGAN,71262000,25.8
MICHIGAN,97510000,34
MICHIGAN,38951000,29.3
MICHIGAN,111367000,25.1
MICHIGAN,39686000,36.5
MICHIGAN,101806000,28.7
MICHIGAN,32413000,28.4
MICHIGAN,339512000,7.1
MICHIGAN,65164000,19
MICHIGAN,97535000,35.9
MICHIGAN,51125000,30.7
MICHIGAN,96802000,21.3
MICHIGAN,318009000,8.2
MICHIGAN,21503000,38.2
MICHIGAN,83950000,15.8
MICHIGAN,236151000,10.7
MICHIGAN,276343000,7.3
MICHIGAN,71159000,16.4
MICHIGAN,31085000,26.1
MICHIGAN,87857000,24.4
MICHIGAN,87610000,32.5
MICHIGAN,30770000,29.5
MICHIGAN,94641000,26.2
MICHIGAN,13871000,111.4
MICHIGAN,18091000,44.8
MICHIGAN,55613000,84.9
MICHIGAN,7867000,102.3
MICHIGAN,23510000,76.7
MICHIGAN,8655000,115.4
MICHIGAN,1643000,101.7
MICHIGAN,60772,9.5
MICHIGAN,34641,17.2
MICHIGAN,7482,20.6
MICHIGAN,2271,26.8
MICHIGAN,14890,22.3
MICHIGAN,51427,10.7
MICHIGAN,6161,22.1
MICHIGAN,3040,19.5
MICHIGAN,10680,32.9
MICHIGAN,12967,33.4
MICHIGAN,8079,28
MICHIGAN,6168,25
MICHIGAN,18868,23.4
MICHIGAN,52013,10.6
MICHIGAN,30586,19.3
MICHIGAN,6645,22.1
